feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
end_time,basic_scale_time,6.237142588904123,6.90285794603381,6.023080825805664,7.129963040351868,-0.6657153571296872,-1.1068822145462036,5.450610373957175e-34,5.365269654115233e-54,0.45037828282828285,0.5496217171717172,-0.0992434343434343,6.9879620178938135e-34,False
duration,basic_scale_time,6.167339069984688,6.838392883067696,5.950682163238525,7.064418077468872,-0.6710538130830077,-1.1137359142303467,7.2105125162445005e-34,1.4041184434805557e-54,0.45047173717371736,0.5495282628262826,-0.09905652565256529,9.127231033220887e-34,False
iat_q05,iat_stats,0.027379423126552997,0.010995620207004632,0.0,0.0,0.016383802919548364,0.0,2.0866374626931442e-103,1.805369191443463e-40,0.5479047804780478,0.5479047804780478,0.09580956095609561,4.0127643513329695e-103,False
time_to_50pct_bytes_ratio,cumulative_shape,0.498492975395527,0.4587422639782303,0.49728751325195775,0.4505581870145162,0.03975071141729669,0.046729326237441526,3.0316842416514987e-29,6.878236085419806e-41,0.5458331533153316,0.5458331533153316,0.09166630663066311,3.789605302064374e-29,False
iat_min,iat_stats,0.02724411134923001,0.01095426232131341,0.0,0.0,0.0162898490279166,0.0,1.0219497256399256e-82,1.5952494951934043e-27,0.5394495349534953,0.5394495349534953,0.0788990699069907,1.6753274190818451e-82,False
pkt_len_q25,packet_length_stats,190.27675267526752,156.19585,66.0,66.0,34.08090267526751,0.0,1.5195090524954332e-21,3.984910717060077e-30,0.4621579507950795,0.5378420492049205,-0.07568409840984103,1.875937101846214e-21,False
first_5_duration,early_window,0.6143001822164409,0.4446182494601898,0.24843692779541018,0.2305954694747925,0.1696819327562511,0.017841458320617676,5.725637614916766e-19,2.402747694038312e-29,0.5363245974597459,0.5363245974597459,0.07264919491949184,6.898358572188874e-19,False
pkt_len_q05,packet_length_stats,56.1059705970597,55.300175,54.0,54.0,0.8057955970596993,0.0,3.803068767546298e-48,4.0317975137579304e-22,0.5336821432143214,0.5336821432143214,0.06736428642864278,5.070758356728398e-48,False
active_span_ratio,basic_scale_time,0.9773508453357151,0.9810266639404377,0.9914165740995325,0.9923688545472249,-0.003675818604722547,-0.0009522804476923552,4.913470871347759e-16,5.548479289501834e-30,0.4668749274927493,0.5331250725072507,-0.06625014501450144,5.849370084937808e-16,False
pkt_len_min,packet_length_stats,55.31673167316732,54.5525,54.0,54.0,0.7642316731673162,0.0,8.115316528256042e-67,8.144726538016662e-19,0.5325175067506751,0.5325175067506751,0.06503501350135021,1.1271272955911169e-66,False
iat_max,iat_stats,1.2911800440460077,1.1568207732011229,0.6408209800720215,0.541951060295105,0.13435927084488486,0.0988699197769165,1.119423303422274e-14,6.250230677880528e-14,0.5315383488348835,0.5315383488348835,0.06307669766976698,1.3144325083154723e-14,False
burst_count_100ms,burst_100ms,13.866186618661866,14.7643,12.0,13.0,-0.8981133813381348,-1.0,1.1304119571513062e-14,1.711236346786939e-20,0.46850827582758275,0.5314917241724173,-0.06298344834483449,1.3144325083154723e-14,False
iat_range,iat_stats,1.2639359326967776,1.1458665108798096,0.6408209800720215,0.541951060295105,0.118069421816968,0.0988699197769165,2.673069691967512e-13,9.505179729090511e-12,0.5298441094109411,0.5298441094109411,0.05968821882188213,3.072493898813232e-13,False
early_20pct_time_byte_fraction,cumulative_shape,0.17927804834929661,0.19138620086390873,0.05283059109747876,0.07129315708330272,-0.012108152514612114,-0.018462565985823964,6.448980503703758e-13,5.77764237050423e-20,0.4706492949294929,0.5293507050705071,-0.058701410141014154,7.246305601104128e-13,False
bin_1_byte_fraction,time_bins,0.17927804834929661,0.19138618675769034,0.05283059109747876,0.07129315708330272,-0.012108138408393726,-0.018462565985823964,6.449211984982675e-13,5.77764237050423e-20,0.47064931493149315,0.5293506850685068,-0.05870137013701371,7.246305601104128e-13,False
pkt_len_q10,packet_length_stats,64.22128212821283,60.465340000000005,54.0,54.0,3.75594212821283,0.0,1.8504722052150746e-20,2.0703633684554662e-16,0.5279302480248025,0.5279302480248025,0.05586049604960497,2.256673420993993e-20,False
start_time,basic_scale_time,0.06980351891943495,0.06446506296611604,0.0500228404998779,0.05014479160308835,0.005338455953318916,-0.00012195110321044922,5.433321760600187e-06,1.7682124244521541e-09,0.48143487348734876,0.5185651265126512,-0.037130253025302484,6.037024178444652e-06,False
pkt_le_64_ratio,packet_length_distribution,0.2031124775309455,0.1960227702069681,0.20161290322580644,0.19346085857935147,0.007089707323977401,0.00815204464645497,0.0003799566911870828,8.345868150514112e-41,0.5145050955095509,0.5145050955095509,0.02901019101910185,0.0004175348254803108,False
bin_1_pkt_count_ratio,time_bins,0.19445376351089708,0.20272989121371954,0.0924265072247135,0.0976413307235513,-0.008276127702822461,-0.005214823498837798,0.0005109111574313409,4.5260126428728694e-06,0.4858160716071607,0.5141839283928393,-0.028367856785678547,0.0005553382145992836,False
